year,value,source,notes
1990,9144958,Economic Commission for Latin America and the Caribbean,
1991,9874932,Economic Commission for Latin America and the Caribbean,
1992,10366651,Economic Commission for Latin America and the Caribbean,
1993,10310889,Economic Commission for Latin America and the Caribbean,
1994,11872224,Economic Commission for Latin America and the Caribbean,
1995,13022947,Economic Commission for Latin America and the Caribbean,
1996,13626190,Economic Commission for Latin America and the Caribbean,
1997,14528520,Economic Commission for Latin America and the Caribbean,
1998,15466334,Economic Commission for Latin America and the Caribbean,
1999,16434564,Economic Commission for Latin America and the Caribbean,
2000,18482548,Economic Commission for Latin America and the Caribbean,
2001,18996753,Economic Commission for Latin America and the Caribbean,
2002,19225155,Economic Commission for Latin America and the Caribbean,
2003,20397906,Economic Commission for Latin America and the Caribbean,
2004,19344925,Economic Commission for Latin America and the Caribbean,
2005,20204907,Economic Commission for Latin America and the Caribbean,
2006,22130159,Economic Commission for Latin America and the Caribbean,
2007,23548320,Economic Commission for Latin America and the Caribbean,
2008,24377320,Economic Commission for Latin America and the Caribbean,
2009,24678103,Economic Commission for Latin America and the Caribbean,
2010,24528105,Economic Commission for Latin America and the Caribbean,
2011,24795592,Economic Commission for Latin America and the Caribbean,
2012,24429029,Economic Commission for Latin America and the Caribbean,
