year,value,source,notes
1990,212004775,Economic Commission for Latin America and the Caribbean,
1991,216049929,Economic Commission for Latin America and the Caribbean,
1992,224351634,Economic Commission for Latin America and the Caribbean,
1993,231841589,Economic Commission for Latin America and the Caribbean,
1994,230771595,Economic Commission for Latin America and the Caribbean,
1995,239953798,Economic Commission for Latin America and the Caribbean,
1996,251168104,Economic Commission for Latin America and the Caribbean,
1997,267631042,Economic Commission for Latin America and the Caribbean,
1998,284425098,Economic Commission for Latin America and the Caribbean,
1999,297499426,Economic Commission for Latin America and the Caribbean,
2000,303954858,Economic Commission for Latin America and the Caribbean,
2001,305949406,Economic Commission for Latin America and the Caribbean,
2002,320048077,Economic Commission for Latin America and the Caribbean,
2003,335115767,Economic Commission for Latin America and the Caribbean,
2004,334651918,Economic Commission for Latin America and the Caribbean,
2005,348552601,Economic Commission for Latin America and the Caribbean,
2006,359840073,Economic Commission for Latin America and the Caribbean,
2007,361835804,Economic Commission for Latin America and the Caribbean,
2008,365096038,Economic Commission for Latin America and the Caribbean,
2009,372954873,Economic Commission for Latin America and the Caribbean,
2010,356974258,Economic Commission for Latin America and the Caribbean,
2011,357889344,Economic Commission for Latin America and the Caribbean,
2012,350175187,Economic Commission for Latin America and the Caribbean,
