year,value,source,note
1990,3040073,Economic Commission for Latin America and the Caribbean,
1991,3506303,Economic Commission for Latin America and the Caribbean,
1992,3812865,Economic Commission for Latin America and the Caribbean,
1993,4042786,Economic Commission for Latin America and the Caribbean,
1994,4266321,Economic Commission for Latin America and the Caribbean,
1995,4736750,Economic Commission for Latin America and the Caribbean,
1996,4904992,Economic Commission for Latin America and the Caribbean,
1997,5556436,Economic Commission for Latin America and the Caribbean,
1998,5907705,Economic Commission for Latin America and the Caribbean,
1999,5843838,Economic Commission for Latin America and the Caribbean,
2000,6488896,Economic Commission for Latin America and the Caribbean,
2001,6933318,Economic Commission for Latin America and the Caribbean,
2002,7271662,Economic Commission for Latin America and the Caribbean,
2003,7421896,Economic Commission for Latin America and the Caribbean,
2004,7805173,Economic Commission for Latin America and the Caribbean,
2005,8015807,Economic Commission for Latin America and the Caribbean,
2006,8732853,Economic Commission for Latin America and the Caribbean,
2007,8765488,Economic Commission for Latin America and the Caribbean,
2008,8975821,Economic Commission for Latin America and the Caribbean,
2009,9578058,Economic Commission for Latin America and the Caribbean,
2010,9436226,Economic Commission for Latin America and the Caribbean,
2011,9831203,Economic Commission for Latin America and the Caribbean,
2012,9223593,Economic Commission for Latin America and the Caribbean,
