year,value,source,notes
1990,15615313,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,16217850,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,17691279,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,15929240,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,17235579,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,16167216,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,18369765,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,19503952,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,19721675,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,22182454,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,24410320,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,24499647,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,25644623,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,24762894,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,26652839,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,28593585,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,29441555,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,32498163,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,34338921,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,34828549,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,35212187,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,38037707,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,37236890,CEPALStat: 733,"CEPALStat: 6432,6495"
