year,value,source,notes
1990,8086708,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,8592128,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,9494662,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,9191410,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,9819574,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,10426078,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,11205867,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,12043419,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,13169782,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,13848488,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,14195061,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,14877820,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,14699498,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,14733383,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,14727374,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,16042122,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,16266058,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,16567182,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,16912380,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,18068111,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,19109907,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,18954900,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,19182569,CEPALStat: 733,"CEPALStat: 6432,6495"
