year,value,source,notes
1990,307061911,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,320696988,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,420769133,CEPALStat: 733,"CEPALStat: 6495,6432"
1993,514530050,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,541259956,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,532288112,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,574486713,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,699845018,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,721934315,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,773620382,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,824790825,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,948973510,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1041435057,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,969949061,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,739073629,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,774734128,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,823903953,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,903949295,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,997194589,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1027183233,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1082953035,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1043559425,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1119314781,CEPALStat: 733,"CEPALStat: 6432,6495"
