year,value,source,notes
1990,9144958,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,9874932,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,10366651,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,10310889,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,11872224,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,13022947,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,13626190,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,14528520,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,15466334,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,16434564,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,18482548,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,18996753,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,19225155,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,20397906,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,19344925,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,20204907,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,22130159,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,23548320,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,24377320,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,24678103,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,24528105,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,24795592,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,24429029,CEPALStat: 733,"CEPALStat: 6432,6495"
