year,value,source,notes
1990,212004775,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,216049929,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,224351634,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,231841589,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,230771595,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,239953798,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,251168104,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,267631042,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,284425098,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,297499426,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,303954858,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,305949406,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,320048077,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,335115767,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,334651918,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,348552601,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,359840073,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,361835804,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,365096038,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,372954873,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,356974258,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,357889344,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,350175187,CEPALStat: 733,"CEPALStat: 6432,6495"
