year,value,source,notes
1990,24402004,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,24439382,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,26247582,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,25543871,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,23743161,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,25010612,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,27023204,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,27902656,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,29887289,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,28221487,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,26020754,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,27314604,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,30477347,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,30083442,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,33065047,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,34215135,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,37090357,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,38776282,CEPALStat: 733,"CEPALStat: 6495,6432"
2008,42991095,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,42429120,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,46081958,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,48048871,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,50752871,CEPALStat: 733,"CEPALStat: 6432,6495"
