year,value,source,notes
1990,57397936,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,60254485,CEPALStat: 733,"CEPALStat: 6495,6432"
1992,63484787,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,63111033,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,65994278,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,68634049,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,87163050,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,95836718,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,102256694,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,102597793,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,108201567,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,112587129,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,122405916,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,128874620,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,133004358,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,141263834,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,140703456,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,149913137,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,154371792,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,154785984,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,154919987,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,164860595,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,172206412,CEPALStat: 733,"CEPALStat: 6432,6495"
