year,value,source,notes
1990,8909561,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,9260819,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,9979866,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,10190621,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,10723707,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,11587389,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,12099812,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,12599839,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,13550302,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,14736315,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,15637189,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,16749945,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,17211918,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,18162844,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,19125498,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,20441067,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,20918158,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,21745692,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,21402023,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,22095952,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,21092474,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,20630174,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,21632114,CEPALStat: 733,"CEPALStat: 6432,6495"
