key,value
name,"Belize - Financial intermediation, real estate, renting and business activities [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Financial intermediation, real estate, renting and business activities [2216]"
description,"Sectoral GDP: Financial intermediation, real estate, renting and business activities"
category,Economic
type,GDP
file,gdp-sec--firerba_blz_cepalstat.csv
filehash,d712acd4207933a61a709b4aacfb685f8f7fce92
columns,"year,value,source,notes"
