year,value,source,notes
1990,786015457,Economic Commission for Latin America and the Caribbean,
1991,787228713,Economic Commission for Latin America and the Caribbean,
1992,782779292,Economic Commission for Latin America and the Caribbean,
1993,774235015,Economic Commission for Latin America and the Caribbean,
1994,795397706,Economic Commission for Latin America and the Caribbean,
1995,797574258,Economic Commission for Latin America and the Caribbean,
1996,804701194,Economic Commission for Latin America and the Caribbean,
1997,833467354,Economic Commission for Latin America and the Caribbean,
1998,869615477,Economic Commission for Latin America and the Caribbean,
1999,901040032,Economic Commission for Latin America and the Caribbean,
2000,899295987,Economic Commission for Latin America and the Caribbean,
2001,891701809,Economic Commission for Latin America and the Caribbean,
2002,905839038,Economic Commission for Latin America and the Caribbean,
2003,885227528,Economic Commission for Latin America and the Caribbean,
2004,947808886,Economic Commission for Latin America and the Caribbean,
2005,1023050000,Economic Commission for Latin America and the Caribbean,
2006,1091869432,Economic Commission for Latin America and the Caribbean,
2007,1113198153,Economic Commission for Latin America and the Caribbean,
2008,1116991857,Economic Commission for Latin America and the Caribbean,
2009,1104620160,Economic Commission for Latin America and the Caribbean,
2010,1113520386,Economic Commission for Latin America and the Caribbean,
2011,1119138447,Economic Commission for Latin America and the Caribbean,
2012,1157851881,Economic Commission for Latin America and the Caribbean,
