year,value,source,notes
1990,1860734409,Economic Commission for Latin America and the Caribbean,
1991,1971786197,Economic Commission for Latin America and the Caribbean,
1992,1677807435,Economic Commission for Latin America and the Caribbean,
1993,1583721892,Economic Commission for Latin America and the Caribbean,
1994,1518941683,Economic Commission for Latin America and the Caribbean,
1995,1492412644,Economic Commission for Latin America and the Caribbean,
1996,1599762706,Economic Commission for Latin America and the Caribbean,
1997,1626907443,Economic Commission for Latin America and the Caribbean,
1998,1710414523,Economic Commission for Latin America and the Caribbean,
1999,1927276291,Economic Commission for Latin America and the Caribbean,
2000,1943859257,Economic Commission for Latin America and the Caribbean,
2001,2049279543,Economic Commission for Latin America and the Caribbean,
2002,2072870786,Economic Commission for Latin America and the Caribbean,
2003,2076122854,Economic Commission for Latin America and the Caribbean,
2004,2177677046,Economic Commission for Latin America and the Caribbean,
2005,2199300000,Economic Commission for Latin America and the Caribbean,
2006,2261205904,Economic Commission for Latin America and the Caribbean,
2007,2445000447,Economic Commission for Latin America and the Caribbean,
2008,2530777814,Economic Commission for Latin America and the Caribbean,
2009,2552592311,Economic Commission for Latin America and the Caribbean,
2010,2640245133,Economic Commission for Latin America and the Caribbean,
2011,2702826089,Economic Commission for Latin America and the Caribbean,
2012,2803212260,Economic Commission for Latin America and the Caribbean,
