key,value
name,"Cuba - Financial intermediation, real estate, renting and business activities [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Financial intermediation, real estate, renting and business activities [2216]"
description,"Sectoral GDP: Financial intermediation, real estate, renting and business activities"
category,Economic
type,GDP
file,gdp-sec--firerba_cub_cepalstat.csv
filehash,918447e8a09a894c353f7fb7b38ac994f81d6588
columns,"year,value,source,notes"
