key,value
name,"Dominican Republic - Financial intermediation, real estate, renting and business activities [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Financial intermediation, real estate, renting and business activities [2216]"
description,"Sectoral GDP: Financial intermediation, real estate, renting and business activities"
category,Economic
type,GDP
file,gdp-sec--firerba_dom_cepalstat.csv
filehash,6b6b39380d36aa71c0198e2cfd088a3857cf8a7a
columns,"year,value,source,notes"
