key,value
name,"Grenada - Financial intermediation, real estate, renting and business activities [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Financial intermediation, real estate, renting and business activities [2216]"
description,"Sectoral GDP: Financial intermediation, real estate, renting and business activities"
category,Economic
type,GDP
file,gdp-sec--firerba_grd_cepalstat.csv
filehash,05114c0e0ce2ffdffca528d76b5f6ca6254ca09b
columns,"year,value,source,notes"
