year,value,source,note
1990,65198154,Economic Commission for Latin America and the Caribbean,
1991,67405420,Economic Commission for Latin America and the Caribbean,
1992,69989876,Economic Commission for Latin America and the Caribbean,
1993,72294932,Economic Commission for Latin America and the Caribbean,
1994,75130849,Economic Commission for Latin America and the Caribbean,
1995,79573321,Economic Commission for Latin America and the Caribbean,
1996,83792271,Economic Commission for Latin America and the Caribbean,
1997,90469948,Economic Commission for Latin America and the Caribbean,
1998,93613206,Economic Commission for Latin America and the Caribbean,
1999,101967287,Economic Commission for Latin America and the Caribbean,
2000,106619309,Economic Commission for Latin America and the Caribbean,
2001,109448744,Economic Commission for Latin America and the Caribbean,
2002,112986392,Economic Commission for Latin America and the Caribbean,
2003,114915663,Economic Commission for Latin America and the Caribbean,
2004,118878081,Economic Commission for Latin America and the Caribbean,
2005,119840431,Economic Commission for Latin America and the Caribbean,
2006,126101869,Economic Commission for Latin America and the Caribbean,
2007,125115475,Economic Commission for Latin America and the Caribbean,
2008,126394208,Economic Commission for Latin America and the Caribbean,
2009,124052056,Economic Commission for Latin America and the Caribbean,
2010,121481577,Economic Commission for Latin America and the Caribbean,
2011,123295713,Economic Commission for Latin America and the Caribbean,
2012,126752151,Economic Commission for Latin America and the Caribbean,
