year,value,source,notes
1990,64500980,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,65296460,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,69113205,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,74496652,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,74342839,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,79726286,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,76701301,CEPALStat: 733,"CEPALStat: 6495,6432"
1997,79059764,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,82033477,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,92697830,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,103567265,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,110027402,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,129612895,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,151505579,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,159862740,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,165400000,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,179089336,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,193188840,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,196623992,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,216106943,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,221443039,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,220923375,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,220807404,CEPALStat: 733,"CEPALStat: 6432,6495"
