year,value,source,notes
1990,2718477844,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,2736035941,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,2808396987,CEPALStat: 733,"CEPALStat: 6495,6432"
1993,2884548553,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,2983803345,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,3094751894,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,3157087011,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,3286135297,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,3323964697,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,3529259312,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,3614640797,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,3881683000,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,4180811962,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,4343027307,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,4271462271,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,4357488145,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,4750887364,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,5273259059,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,5659986961,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,5954396724,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,6375296173,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,6602518953,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,6927177074,CEPALStat: 733,"CEPALStat: 6432,6495"
