year,value,source,notes
1990,35812228,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,35812228,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,36350758,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,37697082,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,40793628,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,43890174,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,47794515,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,50217899,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,52102753,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,52102753,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,53987607,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,52102753,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,51698855,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,52506650,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,53045180,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,56410991,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,61123126,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,61175592,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,65921399,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,71497125,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,78804236,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,85009557,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,95078299,CEPALStat: 733,"CEPALStat: 6432,6495"
