year,value,source,notes
1990,1135901640,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1280838778,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1371798884,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1350193422,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1739350716,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1795954336,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1847060771,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1693695542,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1632696460,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1690919433,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1723567795,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1782398757,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1844587016,CEPALStat: 733,"CEPALStat: 6495,6432"
2003,1935009853,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,1973285805,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,1975705154,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2019708220,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,2102977452,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-2145341400,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-2125732462,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,2120734815,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,2113920252,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,2119551630,CEPALStat: 733,"CEPALStat: 6432,6495"
