year,value,source,notes
1990,143895919,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,145064721,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,146815126,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,149668989,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,152554620,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,152614291,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,157960406,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,155479522,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,158255817,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,155590671,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,159948375,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,161100741,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,166401624,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,170525627,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,179538594,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,187374682,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,190601306,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,209974832,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,203706926,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,209120118,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,214248404,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,223935167,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,234076970,CEPALStat: 733,"CEPALStat: 6432,6495"
