year,value,source,notes
1990,65198154,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,67405420,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,69989876,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,72294932,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,75130849,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,79573321,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,83792271,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,90469948,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,93613206,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,101967287,CEPALStat: 733,"CEPALStat: 6495,6432"
2000,106619309,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,109448744,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,112986392,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,114915663,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,118878081,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,119840431,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,126101869,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,125115475,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,126394208,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,124052056,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,121481577,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,123295713,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,126752151,CEPALStat: 733,"CEPALStat: 6432,6495"
