year,value,source,notes
1990,5777996,Economic Commission for Latin America and the Caribbean,
1991,6008093,Economic Commission for Latin America and the Caribbean,
1992,6318542,Economic Commission for Latin America and the Caribbean,
1993,6694732,Economic Commission for Latin America and the Caribbean,
1994,6979615,Economic Commission for Latin America and the Caribbean,
1995,6161491,Economic Commission for Latin America and the Caribbean,
1996,5854695,Economic Commission for Latin America and the Caribbean,
1997,6216276,Economic Commission for Latin America and the Caribbean,
1998,6592467,Economic Commission for Latin America and the Caribbean,
1999,6856166,Economic Commission for Latin America and the Caribbean,
2000,7129361,Economic Commission for Latin America and the Caribbean,
2001,7201374,Economic Commission for Latin America and the Caribbean,
2002,9318828,Economic Commission for Latin America and the Caribbean,
2003,9534477,Economic Commission for Latin America and the Caribbean,
2004,9023305,Economic Commission for Latin America and the Caribbean,
2005,11147017,Economic Commission for Latin America and the Caribbean,
2006,11602654,Economic Commission for Latin America and the Caribbean,
2007,11616419,Economic Commission for Latin America and the Caribbean,
2008,10099576,Economic Commission for Latin America and the Caribbean,
2009,7712977,Economic Commission for Latin America and the Caribbean,
2010,7161527,Economic Commission for Latin America and the Caribbean,
2011,7299054,Economic Commission for Latin America and the Caribbean,
2012,7445035,Economic Commission for Latin America and the Caribbean,
