year,value,source,note
1997,112067056,Economic Commission for Latin America and the Caribbean,
1998,105454307,Economic Commission for Latin America and the Caribbean,
1999,110044757,Economic Commission for Latin America and the Caribbean,
2000,116270862,Economic Commission for Latin America and the Caribbean,
2001,97220116,Economic Commission for Latin America and the Caribbean,
2002,128052132,Economic Commission for Latin America and the Caribbean,
2003,133677423,Economic Commission for Latin America and the Caribbean,
2004,125764488,Economic Commission for Latin America and the Caribbean,
2005,106347000,Economic Commission for Latin America and the Caribbean,
2006,112465072,Economic Commission for Latin America and the Caribbean,
2007,95144748,Economic Commission for Latin America and the Caribbean,
2008,92994514,Economic Commission for Latin America and the Caribbean,
2009,100316111,Economic Commission for Latin America and the Caribbean,
2010,129153309,Economic Commission for Latin America and the Caribbean,
2011,115104297,Economic Commission for Latin America and the Caribbean,
2012,104081152,Economic Commission for Latin America and the Caribbean,
