year,value,source,note
1992,7187262,Economic Commission for Latin America and the Caribbean,
1993,6815013,Economic Commission for Latin America and the Caribbean,
1994,7359069,Economic Commission for Latin America and the Caribbean,
1995,7931759,Economic Commission for Latin America and the Caribbean,
1996,6614572,Economic Commission for Latin America and the Caribbean,
1997,8876698,Economic Commission for Latin America and the Caribbean,
1998,11052921,Economic Commission for Latin America and the Caribbean,
1999,14317255,Economic Commission for Latin America and the Caribbean,
2000,17810665,Economic Commission for Latin America and the Caribbean,
2001,18583797,Economic Commission for Latin America and the Caribbean,
2002,17266610,Economic Commission for Latin America and the Caribbean,
2003,36308559,Economic Commission for Latin America and the Caribbean,
2004,38312975,Economic Commission for Latin America and the Caribbean,
2005,42150000,Economic Commission for Latin America and the Caribbean,
2006,35621331,Economic Commission for Latin America and the Caribbean,
2007,15319463,Economic Commission for Latin America and the Caribbean,
2008,25656521,Economic Commission for Latin America and the Caribbean,
2009,31354789,Economic Commission for Latin America and the Caribbean,
2010,29707907,Economic Commission for Latin America and the Caribbean,
2011,28704040,Economic Commission for Latin America and the Caribbean,
2012,28427824,Economic Commission for Latin America and the Caribbean,
