year,value,source,note
2000,2040793,Economic Commission for Latin America and the Caribbean,
2001,2296361,Economic Commission for Latin America and the Caribbean,
2002,1991245,Economic Commission for Latin America and the Caribbean,
2003,1686130,Economic Commission for Latin America and the Caribbean,
2004,1287689,Economic Commission for Latin America and the Caribbean,
2005,1334562,Economic Commission for Latin America and the Caribbean,
2006,1653577,Economic Commission for Latin America and the Caribbean,
2007,2080748,Economic Commission for Latin America and the Caribbean,
2008,1770643,Economic Commission for Latin America and the Caribbean,
2009,1839275,Economic Commission for Latin America and the Caribbean,
2010,1517147,Economic Commission for Latin America and the Caribbean,
2011,1695929,Economic Commission for Latin America and the Caribbean,
2012,1448191,Economic Commission for Latin America and the Caribbean,
