year,value,source,note
2002,33087001,Economic Commission for Latin America and the Caribbean,
2003,32338477,Economic Commission for Latin America and the Caribbean,
2004,33076486,Economic Commission for Latin America and the Caribbean,
2005,34331376,Economic Commission for Latin America and the Caribbean,
2006,49579315,Economic Commission for Latin America and the Caribbean,
2007,40395219,Economic Commission for Latin America and the Caribbean,
2008,36367676,Economic Commission for Latin America and the Caribbean,
2009,42573716,Economic Commission for Latin America and the Caribbean,
2010,38085723,Economic Commission for Latin America and the Caribbean,
2011,41841946,Economic Commission for Latin America and the Caribbean,
2012,32055474,Economic Commission for Latin America and the Caribbean,
