year,value,source,notes
1990,5777996,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,6008093,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,6318542,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,6694732,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,6979615,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,6161491,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,5854695,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,6216276,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,6592467,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,6856166,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,7129361,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,7201374,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,9318828,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,9534477,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,9023305,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,11147017,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,11602654,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,11616419,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,10099576,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,7712977,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,7161527,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,7299054,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,7445035,CEPALStat: 733,"CEPALStat: 6432,6495"
