year,value,source,notes
1997,112067056,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,105454307,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,110044757,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,116270862,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,97220116,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,128052132,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,133677423,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,125764488,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,106347000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,112465072,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,95144748,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,92994514,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,100316111,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,129153309,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,115104297,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,104081152,CEPALStat: 733,"CEPALStat: 6432,6495"
