year,value,source,notes
1990,5184757,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,5436989,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,5605143,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,5682214,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,5780304,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,5829349,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,5885400,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,5948458,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,6004509,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,5724252,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,5962471,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,8097679,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,7749643,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,9233340,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,7408120,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,7428747,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,7874446,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,8094675,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,8681813,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,8005763,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,8787266,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,7783957,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,8276320,CEPALStat: 733,"CEPALStat: 6432,6495"
