year,value,source,notes
1990,1435711,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,1515473,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1603720,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1702149,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1861673,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1968588,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,2027985,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,2089079,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,2151870,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1893917,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,2168840,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2080994,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1728679,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2167059,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2136421,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,2238902,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2240619,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,2806978,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1679779,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,2625712,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,2227967,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,2160823,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1838218,CEPALStat: 733,"CEPALStat: 6495,6432"
