year,value,source,notes
1990,5781767,Economic Commission for Latin America and the Caribbean,
1991,6360057,Economic Commission for Latin America and the Caribbean,
1992,5963548,Economic Commission for Latin America and the Caribbean,
1993,6800876,Economic Commission for Latin America and the Caribbean,
1994,7095133,Economic Commission for Latin America and the Caribbean,
1995,8225583,Economic Commission for Latin America and the Caribbean,
1996,8997016,Economic Commission for Latin America and the Caribbean,
1997,11682828,Economic Commission for Latin America and the Caribbean,
1998,13682417,Economic Commission for Latin America and the Caribbean,
1999,14375457,Economic Commission for Latin America and the Caribbean,
2000,14536787,Economic Commission for Latin America and the Caribbean,
2001,15149650,Economic Commission for Latin America and the Caribbean,
2002,16101236,Economic Commission for Latin America and the Caribbean,
2003,16703557,Economic Commission for Latin America and the Caribbean,
2004,16535195,Economic Commission for Latin America and the Caribbean,
2005,17372821,Economic Commission for Latin America and the Caribbean,
2006,19667463,Economic Commission for Latin America and the Caribbean,
2007,24899619,Economic Commission for Latin America and the Caribbean,
2008,22332979,Economic Commission for Latin America and the Caribbean,
2009,24124326,Economic Commission for Latin America and the Caribbean,
2010,23931737,Economic Commission for Latin America and the Caribbean,
2011,23867395,Economic Commission for Latin America and the Caribbean,
2012,21450986,Economic Commission for Latin America and the Caribbean,
