year,value,source,note
1990,7826474,Economic Commission for Latin America and the Caribbean,
1991,10026799,Economic Commission for Latin America and the Caribbean,
1992,10138208,Economic Commission for Latin America and the Caribbean,
1993,10076933,Economic Commission for Latin America and the Caribbean,
1994,10138208,Economic Commission for Latin America and the Caribbean,
1995,11550316,Economic Commission for Latin America and the Caribbean,
1996,11333069,Economic Commission for Latin America and the Caribbean,
1997,10879077,Economic Commission for Latin America and the Caribbean,
1998,12881652,Economic Commission for Latin America and the Caribbean,
1999,12934571,Economic Commission for Latin America and the Caribbean,
2000,13193597,Economic Commission for Latin America and the Caribbean,
2001,12573132,Economic Commission for Latin America and the Caribbean,
2002,13356149,Economic Commission for Latin America and the Caribbean,
2003,14200684,Economic Commission for Latin America and the Caribbean,
2004,16674002,Economic Commission for Latin America and the Caribbean,
2005,17295005,Economic Commission for Latin America and the Caribbean,
2006,19196807,Economic Commission for Latin America and the Caribbean,
2007,20355195,Economic Commission for Latin America and the Caribbean,
2008,20330140,Economic Commission for Latin America and the Caribbean,
2009,21375350,Economic Commission for Latin America and the Caribbean,
2010,22474977,Economic Commission for Latin America and the Caribbean,
2011,22648551,Economic Commission for Latin America and the Caribbean,
2012,23037723,Economic Commission for Latin America and the Caribbean,
