key,value
name,Dominican Republic - Financial intermediation services indirectly measured (FISIM) [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Financial intermediation services indirectly measured (FISIM) [2216]
description,Sectoral GDP: Financial intermediation services indirectly measured (FISIM)
category,Economic
type,GDP
file,gdp-sec--fisim_dom_cepalstat.csv
filehash,6f8b9561e396a92196e7cec3b2119e3fce13b26d
columns,"year,value,source,notes"
