year,value,source,note
1990,168221149,Economic Commission for Latin America and the Caribbean,
1991,189594297,Economic Commission for Latin America and the Caribbean,
1992,241966430,Economic Commission for Latin America and the Caribbean,
1993,248528691,Economic Commission for Latin America and the Caribbean,
1994,381719188,Economic Commission for Latin America and the Caribbean,
1995,422029389,Economic Commission for Latin America and the Caribbean,
1996,460023095,Economic Commission for Latin America and the Caribbean,
1997,415763901,Economic Commission for Latin America and the Caribbean,
1998,415483356,Economic Commission for Latin America and the Caribbean,
1999,428359001,Economic Commission for Latin America and the Caribbean,
2000,436091335,Economic Commission for Latin America and the Caribbean,
2001,465571796,Economic Commission for Latin America and the Caribbean,
2002,491439944,Economic Commission for Latin America and the Caribbean,
2003,467375109,Economic Commission for Latin America and the Caribbean,
2004,465898780,Economic Commission for Latin America and the Caribbean,
2005,472591027,Economic Commission for Latin America and the Caribbean,
2006,470008453,Economic Commission for Latin America and the Caribbean,
2007,479287282,Economic Commission for Latin America and the Caribbean,
2008,468268283,Economic Commission for Latin America and the Caribbean,
2009,488197449,Economic Commission for Latin America and the Caribbean,
2010,426397229,Economic Commission for Latin America and the Caribbean,
2011,408753913,Economic Commission for Latin America and the Caribbean,
2012,396798527,Economic Commission for Latin America and the Caribbean,
