year,value,source,notes
1990,3442917,Economic Commission for Latin America and the Caribbean,
1991,3626317,Economic Commission for Latin America and the Caribbean,
1992,4109826,Economic Commission for Latin America and the Caribbean,
1993,4373255,Economic Commission for Latin America and the Caribbean,
1994,4858432,Economic Commission for Latin America and the Caribbean,
1995,5478422,Economic Commission for Latin America and the Caribbean,
1996,6035747,Economic Commission for Latin America and the Caribbean,
1997,6617404,Economic Commission for Latin America and the Caribbean,
1998,6704102,Economic Commission for Latin America and the Caribbean,
1999,7054230,Economic Commission for Latin America and the Caribbean,
2000,8006242,Economic Commission for Latin America and the Caribbean,
2001,7599374,Economic Commission for Latin America and the Caribbean,
2002,7796358,Economic Commission for Latin America and the Caribbean,
2003,9157211,Economic Commission for Latin America and the Caribbean,
2004,10597752,Economic Commission for Latin America and the Caribbean,
2005,8465230,Economic Commission for Latin America and the Caribbean,
2006,9348892,Economic Commission for Latin America and the Caribbean,
2007,9784426,Economic Commission for Latin America and the Caribbean,
2008,8680884,Economic Commission for Latin America and the Caribbean,
2009,9082653,Economic Commission for Latin America and the Caribbean,
2010,9595869,Economic Commission for Latin America and the Caribbean,
2011,10185385,Economic Commission for Latin America and the Caribbean,
2012,10543295,Economic Commission for Latin America and the Caribbean,
