year,value,source,note
1990,5542831,Economic Commission for Latin America and the Caribbean,
1991,5600833,Economic Commission for Latin America and the Caribbean,
1992,5863656,Economic Commission for Latin America and the Caribbean,
1993,6216200,Economic Commission for Latin America and the Caribbean,
1994,6724625,Economic Commission for Latin America and the Caribbean,
1995,6962072,Economic Commission for Latin America and the Caribbean,
1996,7505842,Economic Commission for Latin America and the Caribbean,
1997,8060488,Economic Commission for Latin America and the Caribbean,
1998,8498223,Economic Commission for Latin America and the Caribbean,
1999,9012992,Economic Commission for Latin America and the Caribbean,
2000,9437133,Economic Commission for Latin America and the Caribbean,
2001,10454503,Economic Commission for Latin America and the Caribbean,
2002,10669896,Economic Commission for Latin America and the Caribbean,
2003,10144714,Economic Commission for Latin America and the Caribbean,
2004,10383427,Economic Commission for Latin America and the Caribbean,
2005,12494999,Economic Commission for Latin America and the Caribbean,
2006,15767764,Economic Commission for Latin America and the Caribbean,
2007,19849158,Economic Commission for Latin America and the Caribbean,
2008,21934671,Economic Commission for Latin America and the Caribbean,
2009,22925000,Economic Commission for Latin America and the Caribbean,
2010,22374953,Economic Commission for Latin America and the Caribbean,
2011,22923033,Economic Commission for Latin America and the Caribbean,
2012,22936944,Economic Commission for Latin America and the Caribbean,
