key,value
name,Saint Lucia - Financial intermediation services indirectly measured (FISIM) [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Financial intermediation services indirectly measured (FISIM) [2216]
description,Sectoral GDP: Financial intermediation services indirectly measured (FISIM)
category,Economic
type,GDP
file,gdp-sec--fisim_lca_cepalstat.csv
filehash,95836239c851abe0696d40dbd25deba193e6b050
columns,"year,value,source,notes"
