year,value,source,notes
1990,7826474,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,10026799,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,10138208,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,10076933,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,10138208,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,11550316,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,11333069,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,10879077,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,12881652,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,12934571,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,13193597,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,12573132,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,13356149,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,14200684,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,16674002,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,17295005,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,19196807,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,20355195,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,20330140,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,21375350,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,22474977,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,22648551,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,23037723,CEPALStat: 733,"CEPALStat: 6432,6495"
