year,value,source,notes
1990,79382250,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,90052514,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,190906404,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,185382573,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,294768495,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,304285668,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,367334742,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,611491579,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,780126742,CEPALStat: 733,"CEPALStat: 6495,6432"
1999,886557238,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,979213342,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1079134865,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1226237644,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,910042315,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,740949764,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,989434188,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1156486087,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1411848911,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1695956765,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1780291939,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,2000523903,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,2034739988,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,2107746031,CEPALStat: 733,"CEPALStat: 6432,6495"
