year,value,source,notes
1990,3442917,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,3626317,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,4109826,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,4373255,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,4858432,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,5478422,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,6035747,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,6617404,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,6704102,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,7054230,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,8006242,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,7599374,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,7796358,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,9157211,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,10597752,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,8465230,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,9348892,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,9784426,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,8680884,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,9082653,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,9595869,CEPALStat: 733,"CEPALStat: 6495,6432"
2011,10185385,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,10543295,CEPALStat: 733,"CEPALStat: 6432,6495"
