year,value,source,notes
1990,2442052,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,2488673,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,2588444,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,2655580,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,2819689,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,3131122,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,3298961,CEPALStat: 733,"CEPALStat: 6495,6432"
1997,3643963,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,3878004,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,4311587,CEPALStat: 733,"CEPALStat: 6495,6432"
2000,4616494,CEPALStat: 733,"CEPALStat: 6495,6432"
2001,4952073,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,4952073,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,5218140,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,5248154,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,5231621,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,5592193,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,5941633,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,6583293,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,6442618,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,6470601,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,6236239,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,6607080,CEPALStat: 733,"CEPALStat: 6432,6495"
