year,value,source,note
1990,5581037959,Economic Commission for Latin America and the Caribbean,
1991,5347658049,Economic Commission for Latin America and the Caribbean,
1992,5143083643,Economic Commission for Latin America and the Caribbean,
1993,5158903030,Economic Commission for Latin America and the Caribbean,
1994,5321362909,Economic Commission for Latin America and the Caribbean,
1995,5554361905,Economic Commission for Latin America and the Caribbean,
1996,5788950227,Economic Commission for Latin America and the Caribbean,
1997,6075270743,Economic Commission for Latin America and the Caribbean,
1998,6361809297,Economic Commission for Latin America and the Caribbean,
1999,6816305220,Economic Commission for Latin America and the Caribbean,
2000,7099130519,Economic Commission for Latin America and the Caribbean,
2001,7285527215,Economic Commission for Latin America and the Caribbean,
2002,7482573734,Economic Commission for Latin America and the Caribbean,
2003,7387938285,Economic Commission for Latin America and the Caribbean,
2004,7453165227,Economic Commission for Latin America and the Caribbean,
2005,7706222000,Economic Commission for Latin America and the Caribbean,
2006,7900177115,Economic Commission for Latin America and the Caribbean,
2007,8014454932,Economic Commission for Latin America and the Caribbean,
2008,7828204028,Economic Commission for Latin America and the Caribbean,
2009,7501356221,Economic Commission for Latin America and the Caribbean,
2010,7575468595,Economic Commission for Latin America and the Caribbean,
2011,7701174789,Economic Commission for Latin America and the Caribbean,
2012,7842273537,Economic Commission for Latin America and the Caribbean,
