year,value,source,notes
1990,542934392,Economic Commission for Latin America and the Caribbean,
1991,556941494,Economic Commission for Latin America and the Caribbean,
1992,602544163,Economic Commission for Latin America and the Caribbean,
1993,639765577,Economic Commission for Latin America and the Caribbean,
1994,641670407,Economic Commission for Latin America and the Caribbean,
1995,643729683,Economic Commission for Latin America and the Caribbean,
1996,654901256,Economic Commission for Latin America and the Caribbean,
1997,678428484,Economic Commission for Latin America and the Caribbean,
1998,703603134,Economic Commission for Latin America and the Caribbean,
1999,762858801,Economic Commission for Latin America and the Caribbean,
2000,856710306,Economic Commission for Latin America and the Caribbean,
2001,899704301,Economic Commission for Latin America and the Caribbean,
2002,945756200,Economic Commission for Latin America and the Caribbean,
2003,1033988109,Economic Commission for Latin America and the Caribbean,
2004,1082048816,Economic Commission for Latin America and the Caribbean,
2005,1114200000,Economic Commission for Latin America and the Caribbean,
2006,1166538878,Economic Commission for Latin America and the Caribbean,
2007,1180658196,Economic Commission for Latin America and the Caribbean,
2008,1226100263,Economic Commission for Latin America and the Caribbean,
2009,1229748157,Economic Commission for Latin America and the Caribbean,
2010,1267666099,Economic Commission for Latin America and the Caribbean,
2011,1294263195,Economic Commission for Latin America and the Caribbean,
2012,1346175898,Economic Commission for Latin America and the Caribbean,
