year,value,source,notes
1990,3320087005,Economic Commission for Latin America and the Caribbean,
1991,3190168914,Economic Commission for Latin America and the Caribbean,
1992,2967344283,Economic Commission for Latin America and the Caribbean,
1993,3003600494,Economic Commission for Latin America and the Caribbean,
1994,3117278823,Economic Commission for Latin America and the Caribbean,
1995,3180349524,Economic Commission for Latin America and the Caribbean,
1996,3306490925,Economic Commission for Latin America and the Caribbean,
1997,3463223505,Economic Commission for Latin America and the Caribbean,
1998,3592763926,Economic Commission for Latin America and the Caribbean,
1999,3604471661,Economic Commission for Latin America and the Caribbean,
2000,3687558812,Economic Commission for Latin America and the Caribbean,
2001,3593519264,Economic Commission for Latin America and the Caribbean,
2002,3617690071,Economic Commission for Latin America and the Caribbean,
2003,3689069487,Economic Commission for Latin America and the Caribbean,
2004,3741943128,Economic Commission for Latin America and the Caribbean,
2005,3891500000,Economic Commission for Latin America and the Caribbean,
2006,4113569293,Economic Commission for Latin America and the Caribbean,
2007,4182305027,Economic Commission for Latin America and the Caribbean,
2008,4196656444,Economic Commission for Latin America and the Caribbean,
2009,4022928765,Economic Commission for Latin America and the Caribbean,
2010,4033125824,Economic Commission for Latin America and the Caribbean,
2011,4063717003,Economic Commission for Latin America and the Caribbean,
2012,4064094671,Economic Commission for Latin America and the Caribbean,
