year,value,source,notes
1990,258473504,Economic Commission for Latin America and the Caribbean,
1991,264063823,Economic Commission for Latin America and the Caribbean,
1992,271221287,Economic Commission for Latin America and the Caribbean,
1993,276266550,Economic Commission for Latin America and the Caribbean,
1994,288258705,Economic Commission for Latin America and the Caribbean,
1995,297920429,Economic Commission for Latin America and the Caribbean,
1996,306343157,Economic Commission for Latin America and the Caribbean,
1997,313978542,Economic Commission for Latin America and the Caribbean,
1998,323914920,Economic Commission for Latin America and the Caribbean,
1999,325990085,Economic Commission for Latin America and the Caribbean,
2000,328065250,Economic Commission for Latin America and the Caribbean,
2001,330104308,Economic Commission for Latin America and the Caribbean,
2002,323377895,Economic Commission for Latin America and the Caribbean,
2003,348171915,Economic Commission for Latin America and the Caribbean,
2004,357353363,Economic Commission for Latin America and the Caribbean,
2005,356195754,Economic Commission for Latin America and the Caribbean,
2006,372493061,Economic Commission for Latin America and the Caribbean,
2007,394664345,Economic Commission for Latin America and the Caribbean,
2008,425410394,Economic Commission for Latin America and the Caribbean,
2009,420680996,Economic Commission for Latin America and the Caribbean,
2010,425782085,Economic Commission for Latin America and the Caribbean,
2011,426566447,Economic Commission for Latin America and the Caribbean,
2012,421693511,Economic Commission for Latin America and the Caribbean,
