year,value,source,note
1990,370430304,Economic Commission for Latin America and the Caribbean,
1991,365376190,Economic Commission for Latin America and the Caribbean,
1992,369360341,Economic Commission for Latin America and the Caribbean,
1993,364756433,Economic Commission for Latin America and the Caribbean,
1994,376922851,Economic Commission for Latin America and the Caribbean,
1995,388558048,Economic Commission for Latin America and the Caribbean,
1996,407989054,Economic Commission for Latin America and the Caribbean,
1997,429890050,Economic Commission for Latin America and the Caribbean,
1998,445690541,Economic Commission for Latin America and the Caribbean,
1999,473927870,Economic Commission for Latin America and the Caribbean,
2000,556982851,Economic Commission for Latin America and the Caribbean,
2001,545710094,Economic Commission for Latin America and the Caribbean,
2002,564467911,Economic Commission for Latin America and the Caribbean,
2003,617889014,Economic Commission for Latin America and the Caribbean,
2004,613888495,Economic Commission for Latin America and the Caribbean,
2005,695370280,Economic Commission for Latin America and the Caribbean,
2006,667606367,Economic Commission for Latin America and the Caribbean,
2007,708486923,Economic Commission for Latin America and the Caribbean,
2008,715204903,Economic Commission for Latin America and the Caribbean,
2009,667904026,Economic Commission for Latin America and the Caribbean,
2010,664489253,Economic Commission for Latin America and the Caribbean,
2011,669571430,Economic Commission for Latin America and the Caribbean,
2012,657349142,Economic Commission for Latin America and the Caribbean,
