year,value,source,notes
1990,9627379570,Economic Commission for Latin America and the Caribbean,
1991,9707870458,Economic Commission for Latin America and the Caribbean,
1992,9868592517,Economic Commission for Latin America and the Caribbean,
1993,10062796920,Economic Commission for Latin America and the Caribbean,
1994,10152605656,Economic Commission for Latin America and the Caribbean,
1995,10404897014,Economic Commission for Latin America and the Caribbean,
1996,10421208860,Economic Commission for Latin America and the Caribbean,
1997,10318632089,Economic Commission for Latin America and the Caribbean,
1998,10192078271,Economic Commission for Latin America and the Caribbean,
1999,10292848623,Economic Commission for Latin America and the Caribbean,
2000,10364022090,Economic Commission for Latin America and the Caribbean,
2001,10503412958,Economic Commission for Latin America and the Caribbean,
2002,10605338234,Economic Commission for Latin America and the Caribbean,
2003,10994165253,Economic Commission for Latin America and the Caribbean,
2004,11139693837,Economic Commission for Latin America and the Caribbean,
2005,11239261922,Economic Commission for Latin America and the Caribbean,
2006,11562113902,Economic Commission for Latin America and the Caribbean,
2007,11727855809,Economic Commission for Latin America and the Caribbean,
2008,11633118764,Economic Commission for Latin America and the Caribbean,
2009,11238924799,Economic Commission for Latin America and the Caribbean,
2010,11076262075,Economic Commission for Latin America and the Caribbean,
2011,11231851931,Economic Commission for Latin America and the Caribbean,
2012,11177917827,Economic Commission for Latin America and the Caribbean,
