year,value,source,note
1990,7080580934,Economic Commission for Latin America and the Caribbean,
1991,7270559087,Economic Commission for Latin America and the Caribbean,
1992,7150796931,Economic Commission for Latin America and the Caribbean,
1993,7046833373,Economic Commission for Latin America and the Caribbean,
1994,7298206634,Economic Commission for Latin America and the Caribbean,
1995,7586838260,Economic Commission for Latin America and the Caribbean,
1996,8121082230,Economic Commission for Latin America and the Caribbean,
1997,8745426068,Economic Commission for Latin America and the Caribbean,
1998,9455406228,Economic Commission for Latin America and the Caribbean,
1999,10214145317,Economic Commission for Latin America and the Caribbean,
2000,10918832987,Economic Commission for Latin America and the Caribbean,
2001,11373987170,Economic Commission for Latin America and the Caribbean,
2002,12276707506,Economic Commission for Latin America and the Caribbean,
2003,14048671582,Economic Commission for Latin America and the Caribbean,
2004,15166534846,Economic Commission for Latin America and the Caribbean,
2005,15982386071,Economic Commission for Latin America and the Caribbean,
2006,18285235830,Economic Commission for Latin America and the Caribbean,
2007,19102762607,Economic Commission for Latin America and the Caribbean,
2008,19750681812,Economic Commission for Latin America and the Caribbean,
2009,18883285335,Economic Commission for Latin America and the Caribbean,
2010,18922680545,Economic Commission for Latin America and the Caribbean,
2011,18619503193,Economic Commission for Latin America and the Caribbean,
2012,18902948114,Economic Commission for Latin America and the Caribbean,
