year,value,source,note
1990,325806440,Economic Commission for Latin America and the Caribbean,
1991,330366493,Economic Commission for Latin America and the Caribbean,
1992,353281838,Economic Commission for Latin America and the Caribbean,
1993,359596864,Economic Commission for Latin America and the Caribbean,
1994,349138951,Economic Commission for Latin America and the Caribbean,
1995,380056779,Economic Commission for Latin America and the Caribbean,
1996,385219420,Economic Commission for Latin America and the Caribbean,
1997,396336143,Economic Commission for Latin America and the Caribbean,
1998,416858856,Economic Commission for Latin America and the Caribbean,
1999,435195970,Economic Commission for Latin America and the Caribbean,
2000,443019075,Economic Commission for Latin America and the Caribbean,
2001,450591429,Economic Commission for Latin America and the Caribbean,
2002,479076243,Economic Commission for Latin America and the Caribbean,
2003,515916192,Economic Commission for Latin America and the Caribbean,
2004,537359126,Economic Commission for Latin America and the Caribbean,
2005,550728660,Economic Commission for Latin America and the Caribbean,
2006,592923324,Economic Commission for Latin America and the Caribbean,
2007,612479289,Economic Commission for Latin America and the Caribbean,
2008,622377125,Economic Commission for Latin America and the Caribbean,
2009,609367474,Economic Commission for Latin America and the Caribbean,
2010,589347943,Economic Commission for Latin America and the Caribbean,
2011,586948055,Economic Commission for Latin America and the Caribbean,
2012,596283152,Economic Commission for Latin America and the Caribbean,
