year,value,source,notes
1990,619971353,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,633283891,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,640045722,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,671080943,CEPALStat: 733,"CEPALStat: 6495,6432"
1994,715499077,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,685150009,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,731163302,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,766995728,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,800787290,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,833804730,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,846190669,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,819161292,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,843115611,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,892974391,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,940180751,CEPALStat: 733,"CEPALStat: 6495,6432"
2005,997374097,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1130786837,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1238199680,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1239080173,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1089944304,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1011623592,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,991518798,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1024413092,CEPALStat: 733,"CEPALStat: 6432,6495"
