year,value,source,notes
1990,1286070663,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1052690753,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,848116347,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,863935734,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1026395613,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1259394609,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1493982931,CEPALStat: 733,"CEPALStat: 6495,6432"
1997,1780303447,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,2066842001,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-1773629372,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1490804073,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1304407377,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-1107360858,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-1201996307,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-1136769365,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-883712592,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-689757477,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-575479660,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-761730564,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-1088578371,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-1014465997,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-888759803,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-747661055,CEPALStat: 733,"CEPALStat: 6432,6495"
