year,value,source,notes
1990,38539870368,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,34418918651,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,30433000333,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,25905123642,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,26090845254,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,26731949772,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,28827400498,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,29629764508,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,29676955520,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,31513550269,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,33377478425,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,34440561094,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,34931115296,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,36256177340,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,38348224403,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,42644000000,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,47789309723,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,51259798640,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,53370114106,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,54144560661,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,55436589823,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,56990505739,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,58710057434,CEPALStat: 733,"CEPALStat: 6432,6495"
