year,value,source,notes
1990,-1529218425,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-1381454541,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,279461542,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1540482894,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1971660600,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,-1271192645,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,169603417,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1902083786,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-754021669,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,925876678,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1859021453,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1348714715,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,313430159,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,236464311,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,634003859,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-817412640,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-1533026419,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1612896609,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-565746672,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,898217224,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1996741,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,2120023144,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-255802722,CEPALStat: 733,"CEPALStat: 6432,6495"
