year,value,source,notes
1990,370430304,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,365376190,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,369360341,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,364756433,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,376922851,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,388558048,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,407989054,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,429890050,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,445690541,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,473927870,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,556982851,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,545710094,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,564467911,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,617889014,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,613888495,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,695370280,CEPALStat: 733,"CEPALStat: 6495,6432"
2006,667606367,CEPALStat: 733,"CEPALStat: 6495,6432"
2007,708486923,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,715204903,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,667904026,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,664489253,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,669571430,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,657349142,CEPALStat: 733,"CEPALStat: 6495,6432"
