year,value,source,notes
1990,-23738981,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,56653236,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-174461227,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-398243376,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-863655531,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,-524239779,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-368024635,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,-261804551,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,-173831081,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,-62120786,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-25280386,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-69891394,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-80560354,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,-65286053,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-214129235,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-140682599,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,-47086887,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,94931607,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,131979910,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,259374074,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,12710374,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,253524342,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,381893462,CEPALStat: 733,"CEPALStat: 6432,6495"
