year,value,source,notes
1990,9627379570,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,9707870458,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,9868592517,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,10062796920,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,10152605656,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,10404897014,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,10421208860,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,10318632089,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,10192078271,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,10292848623,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,10364022090,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,10503412958,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,10605338234,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,10994165253,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,11139693837,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,11239261922,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,11562113902,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,11727855809,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,11633118764,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,11238924799,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,11076262075,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,11231851931,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,11177917827,CEPALStat: 733,"CEPALStat: 6432,6495"
