year,value,source,notes
1990,662848350,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,663371251,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,712428604,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,720248193,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,733825411,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,746272269,CEPALStat: 733,"CEPALStat: 6495,6432"
1996,769353471,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,800395148,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,851245453,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,871322814,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,869626809,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,838809231,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,836300652,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,877298736,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,940607631,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,936512441,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1003686466,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1017436642,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,1064934306,CEPALStat: 733,"CEPALStat: 6495,6432"
2009,1064112903,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1056257956,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1071284903,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1057478354,CEPALStat: 733,"CEPALStat: 6432,6495"
