year,value,source,notes
1990,1744095443,CEPALStat: 733,"CEPALStat: 6495,6432"
1991,1785890026,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1800523862,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1705193992,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1648198235,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1693921801,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1712543642,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1750890668,CEPALStat: 733,"CEPALStat: 6495,6432"
1998,1804948172,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1761526905,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1795439016,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,1898251980,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,1949658462,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2082847864,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,2094137732,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,2244028210,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2498896136,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,2626626907,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,2735458738,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,2817897220,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,2934549302,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,3071729544,CEPALStat: 733,"CEPALStat: 6495,6432"
2012,3207942083,CEPALStat: 733,"CEPALStat: 6432,6495"
