year,value,source,notes
1990,-1509353658,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,-1319375505,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,-1439137661,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,-1543101219,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,-1291727958,CEPALStat: 733,"CEPALStat: 6495,6432"
1995,-1003096332,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,-468852362,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,155491476,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,865471636,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1624210725,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,-1966068901,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,-1510914718,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-608194382,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,1163769694,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-2013334338,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-1197483113,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,1105366646,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,1922893423,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1724154668,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,1703416151,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,1742811361,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,1439634009,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,1723078930,CEPALStat: 733,"CEPALStat: 6432,6495"
