year,value,source,notes
1990,325806440,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,330366493,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,353281838,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,359596864,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,349138951,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,380056779,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,385219420,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,396336143,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,416858856,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,435195970,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,443019075,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,450591429,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,479076243,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,515916192,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,537359126,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,550728660,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,592923324,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,612479289,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,622377125,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,609367474,CEPALStat: 733,"CEPALStat: 6495,6432"
2010,589347943,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,586948055,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,596283152,CEPALStat: 733,"CEPALStat: 6432,6495"
