year,value,source,notes
1997,537814067,Economic Commission for Latin America and the Caribbean,
1998,638725162,Economic Commission for Latin America and the Caribbean,
1999,803589319,Economic Commission for Latin America and the Caribbean,
2000,871254313,Economic Commission for Latin America and the Caribbean,
2001,959821436,Economic Commission for Latin America and the Caribbean,
2002,946726127,Economic Commission for Latin America and the Caribbean,
2003,944051703,Economic Commission for Latin America and the Caribbean,
2004,943055819,Economic Commission for Latin America and the Caribbean,
2005,1058670000,Economic Commission for Latin America and the Caribbean,
2006,1091991026,Economic Commission for Latin America and the Caribbean,
2007,1286362295,Economic Commission for Latin America and the Caribbean,
2008,1218233178,Economic Commission for Latin America and the Caribbean,
2009,1173225858,Economic Commission for Latin America and the Caribbean,
2010,1197987689,Economic Commission for Latin America and the Caribbean,
2011,1392324616,Economic Commission for Latin America and the Caribbean,
2012,1407503270,Economic Commission for Latin America and the Caribbean,
